,sessionid,mouseid,mouseid_full,depth,sess_n,within_sess_n,overall_sess_n,pass_fail,all_files,any_files,n_rois,date,layer,line,notes
0,758519303,1,408021,175,1,1,1,P,1,1,116,180926,soma,L23-Cux2,
1,759189643,1,408021,175,2,1,2,P,1,1,86,180927,soma,L23-Cux2,
2,759660390,1,408021,175,3,1,3,P,1,1,121,181001,soma,L23-Cux2,
3,759666166,2,411400,20,1,1,1,F,1,1,79,181001,dend,L5-Rbp4,
4,759872185,2,411400,20,1,2,2,F,1,1,58,181002,dend,L5-Rbp4,
5,760269100,2,411400,20,1,3,3,F,1,1,86,181003,dend,L5-Rbp4,
6,761730740,2,411400,20,1,4,4,P,1,1,65,181009,dend,L5-Rbp4,
7,762415169,2,411400,20,2,1,5,P,1,1,31,181011,dend,L5-Rbp4,
8,763646681,2,411400,20,3,1,6,P,1,1,44,181015,dend,L5-Rbp4,
9,761624763,3,411424,175,1,1,1,P,1,1,96,181009,soma,L23-Cux2,
10,761944562,3,411424,175,2,1,2,P,1,1,94,181010,soma,L23-Cux2,
11,762250376,3,411424,175,3,1,3,P,1,1,88,181011,soma,L23-Cux2,
12,760260459,4,411771,375,1,1,1,P,1,1,104,181003,soma,L5-Rbp4,
13,760659782,4,411771,375,2,1,2,P,1,1,76,181004,soma,L5-Rbp4,
14,761269197,4,411771,375,3,1,3,P,1,1,99,181008,soma,L5-Rbp4,
15,763949859,5,412933,75,1,1,1,F,1,1,12,181016,soma,L23-Cux2,ROI not in retinotopic center
16,764897534,5,412933,75,1,2,2,F,1,1,11,181017,soma,L23-Cux2,ROI not in retinotopic center
17,765427689,5,412933,75,1,3,3,F,1,1,12,181018,soma,L23-Cux2,ROI not in retinotopic center
18,766755831,5,412933,50,1,4,4,P,0,0,unk,unk,dend,L23-Cux2,
19,767254594,5,412933,50,2,1,5,P,0,0,unk,unk,dend,L23-Cux2,
20,768807532,5,412933,50,3,1,6,P,0,0,unk,unk,dend,L23-Cux2,
21,764704289,6,413663,50,1,1,1,P,1,1,102,181017,dend,L23-Cux2,
22,765193831,6,413663,50,2,1,2,P,1,1,193,181018,dend,L23-Cux2,
23,766502238,6,413663,50,3,1,3,P,0,1,unk,181022,dend,L23-Cux2,
24,777914830,7,420011,20,1,1,1,P,0,0,unk,unk,dend,L5-Rbp4,
25,778864809,7,420011,20,2,1,2,P,0,0,unk,unk,dend,L5-Rbp4,
26,779650018,7,420011,20,3,1,3,P,0,0,unk,unk,dend,L5-Rbp4,
27,777496949,8,418779,375,1,1,1,P,0,0,unk,unk,soma,L5-Rbp4,
28,778374308,8,418779,375,2,1,2,P,0,0,unk,unk,soma,L5-Rbp4,
29,779152062,8,418779,375,3,1,3,P,0,0,unk,unk,soma,L5-Rbp4,
